0.150;0.146;0.140;0.136;0.128;0.125;0.119;0.122;0.124;0.134;0.131;0.145
0.111;0.108;0.104;0.101;0.095;0.093;0.089;0.091;0.092;0.099;0.097;0.107
0.102;0.099;0.095;0.091;0.085;0.084;0.081;0.082;0.083;0.089;0.089;0.098
0.099;0.096;0.092;0.088;0.082;0.080;0.076;0.077;0.080;0.087;0.087;0.096
0.101;0.098;0.094;0.090;0.084;0.083;0.079;0.081;0.082;0.089;0.088;0.097
0.121;0.117;0.112;0.108;0.101;0.100;0.096;0.098;0.099;0.106;0.105;0.117
0.232;0.225;0.211;0.190;0.175;0.166;0.159;0.162;0.170;0.187;0.202;0.224
0.334;0.324;0.301;0.266;0.240;0.220;0.210;0.214;0.233;0.261;0.291;0.322
0.344;0.334;0.312;0.282;0.257;0.240;0.230;0.234;0.250;0.277;0.300;0.332
0.318;0.308;0.293;0.279;0.257;0.244;0.234;0.238;0.250;0.274;0.277;0.307
0.300;0.291;0.279;0.271;0.249;0.236;0.226;0.230;0.242;0.266;0.261;0.289
0.305;0.296;0.283;0.273;0.252;0.241;0.230;0.235;0.245;0.268;0.266;0.295
0.337;0.327;0.314;0.307;0.282;0.268;0.256;0.261;0.274;0.301;0.294;0.325
0.334;0.324;0.310;0.298;0.274;0.259;0.248;0.252;0.266;0.293;0.291;0.322
0.297;0.289;0.274;0.260;0.238;0.223;0.214;0.218;0.231;0.255;0.259;0.287
0.270;0.262;0.248;0.232;0.213;0.201;0.193;0.196;0.207;0.228;0.236;0.261
0.271;0.263;0.245;0.217;0.202;0.195;0.186;0.190;0.196;0.214;0.236;0.262
0.332;0.322;0.292;0.238;0.219;0.208;0.199;0.203;0.213;0.234;0.289;0.320
0.428;0.416;0.374;0.297;0.267;0.241;0.231;0.235;0.258;0.292;0.373;0.414
0.482;0.468;0.426;0.352;0.315;0.280;0.268;0.273;0.304;0.346;0.420;0.466
0.434;0.421;0.391;0.344;0.311;0.283;0.270;0.275;0.301;0.339;0.378;0.419
0.363;0.353;0.336;0.320;0.290;0.267;0.255;0.260;0.281;0.314;0.317;0.351
0.301;0.292;0.282;0.278;0.257;0.245;0.234;0.239;0.250;0.273;0.262;0.291
0.223;0.216;0.209;0.205;0.193;0.190;0.182;0.185;0.188;0.202;0.194;0.215
0.150;0.145;0.141;0.138;0.131;0.124;0.119;0.122;0.125;0.134;0.132;0.143
